Number,Volcano Name,Country,Latitude,Longitude,Elevation (m)
0601-111,Lubukraya,Indonesia,1.478,99.209,1862.0
0601-24=,"Lumut Balai, Bukit",Indonesia,-4.22,103.62,2055.0
0601-121,Malintang,Indonesia,0.47,99.67,1983.0
0601-14=,Marapi,Indonesia,-0.38,100.474,2885.0
0601-231,Patah,Indonesia,-4.257,103.306,2836.0
0601-191,Pendan,Indonesia,-2.82,102.02,0.0
0601-03=,Peuet Sague,Indonesia,4.903,96.289,2785.0
0601-29=,Rajabasa,Indonesia,-5.78,105.625,1281.0
0601-251,Ranau,Indonesia,-4.871,103.925,1854.0
0601-131,Sarik-Gajah,Indonesia,0.074,100.189,737.0
0601-26=,Sekincau Belirang,Indonesia,-5.107,104.317,1717.0
0601-02=,Seulawah Agam,Indonesia,5.448,95.658,1810.0
0601-11=,Sibualbuali,Indonesia,1.556,99.255,1819.0
0601-08=,Sinabung,Indonesia,3.17,98.392,2460.0
0601-07=,Singkut,Indonesia,3.248,98.501,2181.0
0601-12=,Sorikmarapi,Indonesia,0.686,99.539,2145.0
0601-18=,Sumbing,Indonesia,-2.414,101.728,2507.0
0601-27=,Suoh,Indonesia,-5.25,104.27,1000.0
0601-13=,Talakmau,Indonesia,0.079,99.98,2919.0
0601-16=,Talang,Indonesia,-0.979,100.681,2575.0
0601-15=,Tandikat-Singgalang,Indonesia,-0.39,100.331,2854.0
0601-05=,"Telong, Bur ni",Indonesia,4.769,96.821,2617.0
0601-09=,Toba,Indonesia,2.58,98.83,2157.0
0805-07=,Akan,Japan,43.384,144.013,1499.0
0805-011,Esan,Japan,41.805,141.166,618.0
0805-02=,Hokkaido-Komagatake,Japan,42.063,140.677,1131.0
0805-08=,Kussharo,Japan,43.615,144.427,574.0
0805-034,Kuttara,Japan,42.491,141.16,549.0
0805-081,Mashu,Japan,43.572,144.561,857.0
0805-031,Niseko,Japan,42.875,140.659,1308.0
0805-01=,Oshima-Oshima,Japan,41.51,139.367,732.0
0805-082,Rausudake,Japan,44.076,145.122,1660.0
0805-041,Rishirizan,Japan,45.179,141.242,1721.0
0805-062,Shikaribetsu Group,Japan,43.28,143.08,1430.0
0805-04=,Shikotsu,Japan,42.688,141.38,1320.0
0805-09=,Shiretoko-Iozan,Japan,44.133,145.161,1562.0
0805-06=,Taisetsuzan,Japan,43.664,142.854,2291.0
0805-05=,Tokachidake,Japan,43.418,142.686,2077.0
0805-03=,Toya,Japan,42.544,140.839,733.0
0805-032,Yoteizan,Japan,42.827,140.812,1888.0
0803-001,Abu,Japan,34.5,131.6,641.0
0803-17=,Adatarayama,Japan,37.647,140.281,1728.0
0803-13=,Akagisan,Japan,36.56,139.193,1828.0
0803-23=,Akita-Komagatake,Japan,39.761,140.799,1637.0
0803-26=,Akita-Yakeyama,Japan,39.964,140.757,1366.0
0803-11=,Asamayama,Japan,36.406,138.523,2568.0
0803-18=,Azumayama,Japan,37.735,140.244,1949.0
0803-16=,Bandaisan,Japan,37.601,140.072,1816.0
0803-22=,Chokaisan,Japan,39.099,140.049,2236.0
0803-03=,Fujisan,Japan,35.361,138.728,3776.0
0803-25=,Hachimantai,Japan,39.958,140.854,1613.0
0803-28=,Hakkodasan,Japan,40.659,140.877,1585.0
0803-02=,Hakoneyama,Japan,35.233,139.021,1438.0
0803-05=,Hakusan,Japan,36.155,136.771,2702.0
0803-122,Harunasan,Japan,36.477,138.851,1449.0
0803-191,Hijiori,Japan,38.599,140.162,552.0
0803-131,Hiuchigatake,Japan,36.955,139.285,2356.0
0803-27=,Iwakisan,Japan,40.656,140.303,1625.0
0803-24=,Iwatesan,Japan,39.853,141.001,2038.0
0803-01=,Izu-Tobu,Japan,34.9,139.098,1406.0
0803-21=,Kurikomayama,Japan,38.961,140.788,1627.0
0803-12=,Kusatsu-Shiranesan,Japan,36.618,138.528,2165.0
0803-262,Megata,Japan,39.95,139.73,291.0
0803-08=,Midagahara,Japan,36.571,137.59,2621.0
0803-10=,Myokosan,Japan,36.891,138.114,2454.0
0803-141,Nantaisan,Japan,36.765,139.491,2486.0
0803-20=,Naruko,Japan,38.729,140.734,470.0
0803-15=,Nasudake,Japan,37.125,139.963,1915.0
0803-09=,Niigata-Yakeyama,Japan,36.921,138.036,2400.0
0803-14=,Nikko-Shiranesan,Japan,36.799,139.376,2578.0
0803-06=,Norikuradake,Japan,36.106,137.554,3026.0
0803-151,Numazawa,Japan,37.444,139.566,835.0
0803-003,Oki-Dogo,Japan,36.176,133.334,151.0
0803-142,Omanago Group,Japan,36.795,139.507,2341.0
0803-04=,Ontakesan,Japan,35.893,137.48,3067.0
0803-29=,Osorezan,Japan,41.279,141.12,878.0
0803-002,Sanbesan,Japan,35.141,132.622,1126.0
0803-121,Shiga,Japan,36.688,138.519,2041.0
0803-143,Takaharayama,Japan,36.9,139.777,1795.0
0803-271,Towada,Japan,40.51,140.88,1011.0
0803-071,Washiba-Kumonotaira,Japan,36.408,137.594,2924.0
0803-07=,Yakedake,Japan,36.227,137.587,2455.0
0803-031,Yokodake,Japan,36.087,138.32,2480.0
0803-19=,Zaozan [Zaosan],Japan,38.144,140.44,1841.0
0804-06=,Aogashima,Japan,32.458,139.759,423.0
0804-095,Doyo Seamount,Japan,27.68,140.8,-590.0
0804-05=,Hachijojima,Japan,33.137,139.766,854.0
0804-01=,Izu-Oshima,Japan,34.724,139.394,758.0
0804-09=,Izu-Torishima,Japan,30.484,140.303,394.0
0804-061,Kita-Bayonnaise,Japan,32.1,139.85,-360.0
0804-03=,Kozushima,Japan,34.219,139.153,572.0
0804-042,Kurose Hole,Japan,33.4,139.68,-107.0
0804-041,Mikurajima,Japan,33.874,139.602,851.0
0804-04=,Miyakejima,Japan,34.094,139.526,775.0
0804-094,Mokuyo Seamount,Japan,28.327,140.572,-933.0
0804-07=,Myojinsho,Japan,31.888,139.918,11.0
0804-02=,Niijima,Japan,34.397,139.27,432.0
0804-091,Sofugan,Japan,29.794,140.342,99.0
0804-08=,Sumisujima,Japan,31.44,140.051,136.0
0804-011,Toshima,Japan,34.52,139.279,508.0
0805-061,Maruyama,Japan,43.418,143.031,2013.0
0802-08=,Aira,Japan,31.593,130.657,1117.0
0802-11=,Asosan,Japan,32.884,131.104,1592.0
0802-07=,Ata,Japan,31.22,130.57,924.0
0802-091,Fukue,Japan,32.657,128.849,315.0
0802-09=,Kirishimayama,Japan,31.934,130.862,1700.0
0802-12=,Kujusan,Japan,33.086,131.249,1791.0
0802-10=,Unzendake,Japan,32.761,130.299,1483.0
0802-081,Yonemaru-Sumiyoshiike,Japan,31.771,130.592,40.0
0802-13=,Yufu-Tsurumi,Japan,33.282,131.39,1584.0
0804-16=,Agrigan,United States,18.77,145.67,965.0
0804-141,Ahyi,United States,20.42,145.03,-75.0
0804-18=,Alamagan,United States,17.6,145.83,744.0
0804-20=,Anatahan,United States,16.35,145.67,790.0
0804-15=,Asuncion,United States,19.671,145.406,857.0
0804-201,East Diamante,United States,15.93,145.67,-127.0
0804-21=,Esmeralda Bank,United States,15.0,145.25,-43.0
0804-14=,Farallon de Pajaros,United States,20.546,144.893,337.0
0804-22-,Forecast Seamount,United States,13.4,143.92,-1456.0
0804-19=,Guguan,United States,17.307,145.845,287.0
0804-135,Kasuga 2,United States,21.6,143.637,-274.0
0804-143,Maug Islands,United States,20.02,145.22,227.0
0804-136,NW Eifuku,United States,21.485,144.043,-1535.0
0804-211,NW Rota-1,United States,14.601,144.775,-517.0
0804-17=,Pagan,United States,18.13,145.8,570.0
0804-202,Ruby,United States,15.62,145.57,-230.0
0804-192,Sarigan,United States,16.708,145.78,538.0
0804-23-,Seamount X,United States,13.25,144.02,-1230.0
0804-142,Supply Reef,United States,20.13,145.1,-8.0
0804-138,Unnamed,United States,21.0,142.9,
0804-139,Unnamed,United States,20.3,143.2,
0804-191,Zealandia Bank,United States,16.88,145.85,0.0
0802-022,Akusekijima,Japan,29.465,129.594,555.0
0802-02=,Io-Torishima,Japan,27.881,128.223,212.0
0802-06=,Kikai,Japan,30.793,130.305,704.0
0802-041,Kuchino-shima,Japan,29.97,129.93,627.0
0802-05=,Kuchinoerabujima,Japan,30.443,130.217,657.0
0802-043,Kuchinoshima,Japan,29.968,129.926,628.0
0802-04=,Nakanoshima,Japan,29.859,129.857,979.0
0802-01=,Submarine Volcano NNE of Iriomotejima,Japan,24.57,123.93,-200.0
0802-03=,Suwanosejima,Japan,29.638,129.714,796.0
0802-021,Yokoatejima,Japan,28.797,128.997,495.0
0801-032,Tatun Volcanic Group,China,25.178,121.553,1120.0
0801-031,Kueishantao,Taiwan,24.841,121.953,361.0
0801-03=,Unnamed,Taiwan,24.0,121.83,0.0
0801-011,Unnamed,Taiwan,19.17,132.25,-10.0
0801-02=,Unnamed,Taiwan,21.83,121.18,-115.0
0801-01=,Unnamed,Taiwan,20.93,134.75,-6000.0
0801-04=,Unnamed,Taiwan,25.42,122.33,-100.0
0801-05=,Zengyu,Taiwan,26.18,122.458,-418.0
0804-137,Daikoku,Japan,21.324,144.194,-323.0
0804-133,Fukujin,Japan,21.93,143.47,-217.0
0804-13=,Fukutoku-Oka-no-Ba,Japan,24.285,141.481,-29.0
0804-12=,Ioto,Japan,24.751,141.289,169.0
0804-097,Kaikata Seamount,Japan,26.667,140.929,-165.0
0804-10=,Kaitoku Seamount,Japan,26.127,141.102,-95.0
0804-134,Kasuga 1,Japan,21.765,143.71,-598.0
0804-121,Kita-Fukutokutai,Japan,24.417,141.417,-73.0
0804-11=,Kita-Ioto,Japan,25.424,141.284,792.0
0804-131,Minami-Hiyoshi,Japan,23.5,141.935,-107.0
0804-132,Nikko,Japan,23.078,142.326,-392.0
0804-096,Nishinoshima,Japan,27.247,140.874,25.0
0804-093,Suiyo Seamount,Japan,28.575,140.633,-991.0
0804-101,Unnamed,Japan,26.133,144.483,-3200.0
1005-011,Arxan-Chaihe,China,47.45,120.8,1677.0
1005-01-,Honggeertu,China,41.59,113.111,1605.0
1005-04-,Jingbo,China,44.08,128.83,1000.0
1005-02-,Keluo Group,China,49.37,125.92,670.0
1005-05-,Longgang Group,China,42.33,126.5,1000.0
1005-03-,Wudalianchi,China,48.722,126.15,597.0
1005-06-,Changbaishan,North Korea,41.98,128.08,2744.0
1004-03-,Kunlun Volcanic Group,China,35.52,80.2,5808.0
1004-02-,Tianshan Volc Group,China,42.5,82.5,0.0
1004-01-,Turfan,China,42.9,89.25,0.0
1004-04-,Unnamed,China,35.85,91.7,5400.0
1000-125,Akademia Nauk,Russia,53.98,159.45,1180.0
1000-32-,Akhtang,Russia,55.43,158.65,1956.0
1000-45-,Alney-Chashakondzha,Russia,56.656,159.647,2570.0
1000-60-,Alngey,Russia,57.702,160.418,1822.0
1000-39-,Anaun,Russia,56.32,158.83,1828.0
1000-058,Asacha,Russia,52.355,157.827,1910.0
1000-10=,Avachinsky,Russia,53.256,158.836,2717.0
1000-123,Bakening,Russia,53.905,158.07,2278.0
1000-084,Barkhatnaya Sopka,Russia,52.802,158.24,874.0
1000-042,Belenkaya,Russia,51.75,157.27,892.0
1000-64-,Bely,Russia,57.88,160.53,2080.0
1000-25=,Bezymianny,Russia,55.972,160.595,2882.0
1000-49-,Bliznets,Russia,56.97,159.78,1244.0
1000-552,Bliznetsy,Russia,57.35,161.37,265.0
1000-087,Bolshe-Bannaya,Russia,52.9,157.78,1200.0
1000-30-,Bolshoi Payalpan,Russia,55.88,157.78,1906.0
1000-15=,Bolshoi Semiachik,Russia,54.32,160.02,1720.0
1000-36-,Bolshoi-Kekuknaysky,Russia,56.483,157.917,1401.0
1000-46-,Cherny,Russia,56.82,159.67,1778.0
1000-273,Cherpuk Group,Russia,55.55,157.47,1868.0
1000-022,Diky Greben,Russia,51.452,156.978,1040.0
1000-11=,Dzenzursky,Russia,53.637,158.922,2285.0
1000-42-,Eggella,Russia,56.57,158.52,1046.0
1000-59-,Elovsky,Russia,57.55,160.53,1381.0
1000-51-,Fedotych,Russia,57.13,160.4,965.0
1000-21=,Gamchen,Russia,54.974,160.703,2539.0
1000-38-,Geodesistoy,Russia,56.33,158.67,1170.0
1000-057,Golaya,Russia,52.263,157.787,858.0
1000-07=,Gorely,Russia,52.559,158.03,1799.0
1000-53-,Gorny Institute,Russia,57.33,160.2,2125.0
1000-28=,Ichinsky,Russia,55.678,157.718,3596.0
1000-71-,Iettunup,Russia,58.4,161.08,1340.0
1000-67-,Iktunup,Russia,58.08,160.77,2300.0
1000-03=,Iliinsky,Russia,51.498,157.203,1555.0
1000-62-,Kaileney,Russia,57.8,160.67,1582.0
1000-01=,Kambalny,Russia,51.306,156.875,2116.0
1000-251,Kamen,Russia,56.02,160.593,4585.0
1000-13=,Karymsky,Russia,54.049,159.443,1513.0
1000-50-,Kebeney,Russia,57.1,159.93,1527.0
1000-41-,Kekurny,Russia,56.4,158.85,1377.0
1000-041,Kell,Russia,51.65,157.35,900.0
1000-272,Khangar,Russia,54.761,157.407,1967.0
1000-053,Khodutka,Russia,52.062,157.711,2039.0
1000-18=,Kikhpinych,Russia,54.489,160.251,1515.0
1000-551,Kinenin,Russia,57.35,160.97,583.0
1000-23=,Kizimen,Russia,55.131,160.32,2334.0
1000-26=,Klyuchevskoy,Russia,56.056,160.642,4754.0
1000-22=,Komarov,Russia,55.033,160.725,2065.0
1000-09=,Koryaksky,Russia,53.321,158.712,3430.0
1000-02=,Koshelev,Russia,51.356,156.753,1822.0
1000-122,Kostakan,Russia,53.83,158.05,1150.0
1000-33-,Kozyrevsky,Russia,55.58,158.38,2016.0
1000-40-,Krainy,Russia,56.37,159.03,1554.0
1000-19=,Krasheninnikov,Russia,54.596,160.27,1816.0
1000-20=,Kronotsky,Russia,54.753,160.533,3482.0
1000-05=,Ksudach,Russia,51.844,157.572,1079.0
1000-37-,Kulkev,Russia,56.37,158.37,915.0
1000-023,Kurile Lake,Russia,51.45,157.12,81.0
1000-54-,Leutongey,Russia,57.306,159.827,1318.0
1000-29-,Maly Payalpan,Russia,55.82,157.98,1802.0
1000-14=,Maly Semyachik,Russia,54.135,159.674,1527.0
1000-001,Mashkovtsev,Russia,51.1,156.72,503.0
1000-57-,Mezhdusopochny,Russia,57.47,160.25,1641.0
1000-06=,Mutnovsky,Russia,52.449,158.196,2288.0
1000-65-,Nylgimelkin,Russia,57.97,160.65,1764.0
1000-052,Olkoviy Volcanic Group,Russia,52.02,157.53,681.0
1000-08=,Opala,Russia,52.543,157.339,2439.0
1000-055,Ostanets,Russia,52.146,157.322,719.0
1000-68-,Ostry,Russia,58.18,160.82,2552.0
1000-056,Otdelniy,Russia,52.221,157.435,814.0
1000-051,Ozernoy,Russia,51.88,157.38,562.0
1000-054,Piratkovsky,Russia,52.113,157.849,1322.0
1000-63-,Plosky,Russia,57.83,160.25,1255.0
1000-31-,Plosky,Russia,55.2,158.47,1236.0
1000-47-,Pogranychny,Russia,56.85,159.8,1427.0
1000-34-,Romanovka,Russia,55.65,158.8,1442.0
1000-201,Schmidt,Russia,54.92,160.63,2020.0
1000-52-,Sedanka Lava Field,Russia,57.317,160.067,1399.0
1000-70-,Severny,Russia,58.28,160.87,1936.0
1000-27=,Sheveluch,Russia,56.653,161.36,3283.0
1000-511,Shisheika,Russia,57.153,161.09,355.0
1000-58-,Shishel,Russia,57.45,160.37,2525.0
1000-69-,Snegovoy,Russia,58.2,160.97,2169.0
1000-66-,Snezhniy,Russia,58.02,160.8,2169.0
1000-671,Spokoiny,Russia,58.13,160.82,2171.0
1000-16-,Taunshits,Russia,54.528,159.804,2301.0
1000-512,Terpuk,Russia,57.2,159.83,765.0
1000-56-,Titila,Russia,57.406,160.108,1523.0
1000-24=,Tolbachik,Russia,55.832,160.326,3611.0
1000-082,Tolmachev Dol,Russia,52.63,157.58,1021.0
1000-55-,Tuzovsky,Russia,57.32,159.967,1516.0
1000-241,Udina,Russia,55.758,160.527,2886.0
1000-61-,Uka,Russia,57.706,160.59,1607.0
1000-35-,Uksichan,Russia,56.08,158.38,1692.0
1000-232,Unnamed,Russia,55.92,161.75,0.0
1000-086,Unnamed,Russia,52.88,158.3,700.0
1000-085,Unnamed,Russia,52.92,158.52,450.0
1000-081,Unnamed,Russia,52.57,157.02,610.0
1000-43-,Unnamed,Russia,56.82,158.95,1185.0
1000-261,Ushkovsky,Russia,56.113,160.509,3943.0
1000-17=,Uzon,Russia,54.5,159.97,1617.0
1000-121,Veer,Russia,53.75,158.45,520.0
1000-44-,Verkhovoy,Russia,56.52,159.53,1400.0
1000-083,Vilyuchik,Russia,52.7,158.28,2173.0
1000-059,Visokiy,Russia,52.43,157.93,1234.0
1000-72-,Voyampolsky,Russia,58.374,160.631,1103.0
1000-221,Vysoky,Russia,55.064,160.765,2129.0
1000-021,Yavinsky,Russia,51.533,156.629,646.0
1000-48-,Zaozerny,Russia,56.88,159.95,1349.0
1000-124,Zavaritsky,Russia,53.905,158.385,1567.0
1000-04=,Zheltovsky,Russia,51.577,157.328,1926.0
1000-12=,Zhupanovsky,Russia,53.589,159.15,2899.0
1000-242,Zimina,Russia,55.862,160.603,3057.0
1000-271,Piip,Russia,55.42,167.33,-300.0
1006-02-,Ch'uga-ryong,North Korea,38.33,127.33,452.0
1006-01-,Xianjindao,North Korea,41.33,128.0,0.0
1006-04-,Halla,South Korea,33.361,126.53,1919.0
1006-03-,Ulreung,South Korea,37.5,130.87,984.0
1003-03-,Bus-Obo,Mongolia,47.12,109.08,1162.0
1003-04-,Dariganga Volcanic Field,Mongolia,45.754,114.279,1778.0
1003-02-,Khanuy Gol,Mongolia,48.67,102.75,1886.0
1003-05-,Middle Gobi,Mongolia,45.28,106.7,1120.0
1003-01-,Taryatu-Chulutu,Mongolia,48.133,99.95,2326.0
1002-07-,Azas Plateau,Russia,52.433,98.303,2765.0
1002-06-,Jom-Bolok,Russia,52.713,99.021,2047.0
1002-01-,Southern Sikhote-Alin,Russia,44.5,135.5,0.0
1002-05-,Tunkin Depression,Russia,51.5,102.5,1200.0
1002-03-,Udokan Plateau,Russia,56.28,117.77,2180.0
1002-04-,Vitim Volcanic Field,Russia,53.75,113.25,1250.0
1505-18-,Antofagasta Volcanic Field,Argentina,-26.12,-67.4,3495.0
1508-024,Apagado,Argentina,-41.88,-72.58,1210.0
1505-16-,Aracar,Argentina,-24.29,-67.783,6095.0
1507-023,"Atuel, Caldera del",Argentina,-34.65,-70.05,5189.0
1505-21-,"Blanco, Cerro",Argentina,-26.789,-67.765,4670.0
1505-19-,"Condor, El",Argentina,-26.632,-68.361,6373.0
1507-067,Domuyo,Argentina,-36.638,-70.432,4702.0
1505-124,Falso Azufre,Argentina,-26.8,-68.37,5906.0
1507-123,Huanquihue Group,Argentina,-39.887,-71.58,2189.0
1505-123,"Nevada, Sierra",Argentina,-26.48,-68.58,6173.0
1507-066,Payun Matru,Argentina,-36.422,-69.241,3715.0
1505-20-,Peinado,Argentina,-26.623,-68.116,5741.0
1507-073,Puesto Cortaderas,Argentina,-37.567,-69.617,970.0
1505-107,Pular,Argentina,-24.188,-68.054,6233.0
1507-024,Risco Plateado,Argentina,-34.917,-69.981,4999.0
1505-131,"Solo, El",Argentina,-27.105,-68.713,6205.0
1505-22-,Tipas,Argentina,-27.196,-68.561,6658.0
1507-081,Trolon,Argentina,-37.738,-70.906,2360.0
1507-072,Tromen,Argentina,-37.144,-70.033,4114.0
1507-071,Tromen,Argentina,-37.142,-70.03,3978.0
1505-15-,Tuzgle,Argentina,-24.05,-66.48,5486.0
1505-161,Unnamed,Argentina,-25.078,-68.266,4652.0
1508-061,"Viedma, Volcan",Argentina,-49.358,-73.28,1300.0
1505-036,Jatun Mundo Quri Warani,Bolivia,-19.78,-66.48,5438.0
1505-035,"Jayu Khota, Laguna",Bolivia,-19.463,-67.432,3650.0
1505-042,Pampa Luxsar,Bolivia,-20.85,-68.2,5543.0
1505-012,Parinacota,Bolivia,-18.166,-69.142,6336.0
1505-021,Tambo Quemado,Bolivia,-18.62,-68.75,4215.0
1505-061,"Yumia, Cerro",Bolivia,-21.5,-67.5,4050.0
1505-125,"Incahuasi, Nevado de",Argentina,-27.033,-68.296,6638.0
1507-122,Lanin,Argentina,-39.637,-71.502,3776.0
1507-021,Maipo,Argentina,-34.164,-69.832,5323.0
1507-02=,San Jose,Argentina,-33.789,-69.895,6070.0
1507-153,Antillanca Volcanic Complex,Chile,-40.783,-72.15,1979.0
1507-08=,Antuco,Chile,-37.406,-71.349,2979.0
1507-06=,"Azul, Cerro",Chile,-35.653,-70.761,3788.0
1507-064,"Blancas, Lomas",Chile,-36.286,-71.009,2268.0
1507-112,Caburgua-Huelemolle,Chile,-39.25,-71.75,1652.0
1507-042,Calabozos,Chile,-35.558,-70.496,3508.0
1507-091,Callaqui,Chile,-37.92,-71.45,3164.0
1507-14=,Carran-Los Venados,Chile,-40.35,-72.07,1114.0
1507-07=,"Chillan, Nevados de",Chile,-36.868,-71.378,3180.0
1507-09=,Copahue,Chile,-37.856,-71.183,2953.0
1507-05=,Descabezado Grande,Chile,-35.58,-70.75,3953.0
1507-041,Infiernillo,Chile,-35.123,-69.9,3007.0
1507-11=,Llaima,Chile,-38.692,-71.729,3125.0
1507-063,"Longavi, Nevado de",Chile,-36.193,-71.161,3242.0
1507-10=,Lonquimay,Chile,-38.379,-71.586,2832.0
1507-092,"Mariñaqui, Laguna",Chile,-38.255,-71.167,2108.0
1507-061,"Maule, Laguna del",Chile,-36.058,-70.492,2162.0
1507-13=,Mocho-Choshuenco,Chile,-39.927,-72.027,2422.0
1507-022,Palomo,Chile,-34.608,-70.295,4860.0
1507-152,"Pantojo, Cerro",Chile,-40.77,-71.95,1897.0
1507-04=,Planchon-Peteroa,Chile,-35.223,-70.568,3977.0
1507-16-,Puntiagudo-Cordon Cenizos,Chile,-40.969,-72.264,2493.0
1507-15=,Puyehue-Cordon Caulle,Chile,-40.59,-72.117,2236.0
1507-121,Quetrupillan,Chile,-39.496,-71.722,2360.0
1507-065,"Resago, Volcan",Chile,-36.45,-70.92,1890.0
1507-062,San Pedro-Pellado,Chile,-35.989,-70.849,3621.0
1507-111,Sollipulli,Chile,-38.97,-71.52,2282.0
1507-03=,Tinguiririca,Chile,-34.814,-70.352,4280.0
1507-093,Tolhuaca,Chile,-38.31,-71.645,2739.0
1507-101,Tralihue,Chile,-38.509,-70.898,2448.0
1507-01=,Tupungatito,Chile,-33.425,-69.797,5660.0
1507-12=,Villarrica,Chile,-39.42,-71.93,2847.0
1506-011,Easter Island,Chile,-27.15,-109.38,511.0
1506-02=,Robinson Crusoe,Chile,-33.658,-78.85,922.0
1506-01=,San Felix,Chile,-26.27,-80.12,183.0
1506-04=,Unnamed,Chile,-33.62,-76.83,-642.0
1506-03=,Unnamed,Chile,-33.622,-78.78,0.0
1505-122,"Bayo Gorbea, Cerro",Argentina,-25.414,-68.588,5413.0
1505-121,Cordon del Azufre,Argentina,-25.336,-68.521,5481.0
1505-112,Corrida de Cori Volcanic Field,Argentina,-25.083,-68.367,5451.0
1505-11=,Llullaillaco,Argentina,-24.72,-68.53,6739.0
1505-13=,"Ojos del Salado, Nevados",Argentina,-27.109,-68.541,6879.0
1505-108,Socompa,Argentina,-24.396,-68.246,6031.0
1505-06=,"Azufre, Cerro del",Bolivia,-21.787,-68.237,5846.0
1505-093,Guayaques,Bolivia,-22.895,-67.566,5598.0
1505-04=,Irruputuncu,Bolivia,-20.73,-68.55,5163.0
1505-05=,Olca-Paruma,Bolivia,-20.939,-68.413,5705.0
1505-091,Sairecabur,Bolivia,-22.72,-67.892,5971.0
1505-096,Acamarachi,Chile,-23.292,-67.618,6023.0
1505-104,Caichinque,Chile,-23.949,-67.74,4458.0
1505-098,Chiliques,Chile,-23.58,-67.7,5778.0
1505-095,Colachi,Chile,-23.236,-67.645,5631.0
1505-14-,Copiapo,Chile,-27.3,-69.13,6052.0
1505-101,Cordon de Puntas Negras,Chile,-23.743,-67.534,5852.0
1505-02=,Guallatiri,Chile,-18.42,-69.092,6071.0
1505-03=,Isluga,Chile,-19.15,-68.83,5550.0
1505-10=,Lascar,Chile,-23.37,-67.73,5592.0
1505-12=,Lastarria,Chile,-25.168,-68.507,5706.0
1505-092,Licancabur,Chile,-22.83,-67.88,5916.0
1505-102,Miniques,Chile,-23.82,-67.77,5910.0
1505-106,"Negrillar, El",Chile,-24.18,-68.25,3500.0
1505-109,"Negrillar, La",Chile,-24.319,-68.59,4220.0
1505-097,"Overo, Cerro",Chile,-23.52,-67.67,4555.0
1505-094,Purico Complex,Chile,-23.0,-67.75,5703.0
1505-09=,Putana,Chile,-22.557,-67.853,5884.0
1505-07=,San Pedro-San Pablo,Chile,-21.888,-68.391,6142.0
1505-011,Taapaca,Chile,-18.1,-69.5,5860.0
1505-01=,Tacora,Chile,-17.72,-69.77,5980.0
1505-032,Tata Sabaya,Chile,-19.13,-68.53,5430.0
1505-105,Tilocalar,Chile,-23.97,-68.13,3109.0
1505-103,"Tujle, Cerro",Chile,-23.83,-67.95,3550.0
1508-062,Aguilera,Chile,-50.33,-73.75,2546.0
1508-059,Arenales,Chile,-47.2,-73.483,3437.0
1508-07=,"Burney, Monte",Chile,-52.33,-73.4,1758.0
1508-02=,Calbuco,Chile,-41.33,-72.618,1974.0
1508-055,Cay,Chile,-45.059,-72.984,2090.0
1508-021,Cayute-La Vigueria,Chile,-41.25,-72.27,506.0
1508-012,Cayutue-La Vigueria,Chile,-41.25,-72.27,506.0
1508-041,Chaiten,Chile,-42.833,-72.646,1122.0
1508-050,Corcovado,Chile,-43.189,-72.794,1826.0
1508-09-,Fueguino,Chile,-54.97,-70.262,157.0
1508-023,Hornopiren,Chile,-41.874,-72.431,1572.0
1508-057,"Hudson, Cerro",Chile,-45.9,-72.97,1905.0
1508-03=,Huequi,Chile,-42.377,-72.578,1318.0
1508-06=,Lautaro,Chile,-49.019,-73.504,3542.0
1508-056,Maca,Chile,-45.1,-73.17,2960.0
1508-052,Melimoyu,Chile,-44.08,-72.88,2400.0
1508-054,Mentolat,Chile,-44.7,-73.08,1660.0
1508-04=,Michinmahuida,Chile,-42.799,-72.445,2452.0
1508-01=,Osorno,Chile,-41.105,-72.496,2659.0
1508-051,Palena Volcanic Group,Chile,-43.42,-72.83,2991.0
1508-08-,Pali-Aike Volcanic Field,Chile,-52.082,-69.698,282.0
1508-053,Puyuhuapi,Chile,-44.3,-72.53,524.0
1508-063,Reclus,Chile,-50.964,-73.585,1000.0
1508-058,Río Murta,Chile,-46.167,-72.667,
1508-011,Tronador,Chile,-41.157,-71.885,3478.0
1508-05=,Yanteles,Chile,-43.497,-72.81,2049.0
1508-022,Yate,Chile,-41.755,-72.396,2187.0
1508-025,Crater Basalt Volcanic Field,Argentina,-42.018,-70.194,1344.0
1501-09=,Azufral,Colombia,1.08,-77.68,4070.0
1501-012,"Bravo, Cerro",Colombia,5.091,-75.293,3985.0
1501-10=,Cumbal,Colombia,0.95,-77.87,4764.0
1501-07=,Dona Juana,Colombia,1.5,-76.936,4137.0
1501-08=,Galeras,Colombia,1.22,-77.37,4276.0
1501-05=,"Huila, Nevado del",Colombia,2.93,-76.03,5364.0
1501-04=,Machin,Colombia,4.487,-75.389,2749.0
1501-062,Petacas,Colombia,1.57,-76.78,3280.0
1501-06=,Purace,Colombia,2.32,-76.4,4650.0
1501-011,Romeral,Colombia,5.203,-75.363,3769.0
1501-02=,"Ruiz, Nevado del",Colombia,4.892,-75.324,5279.0
1501-021,Santa Isabel,Colombia,4.818,-75.365,4944.0
1501-061,Sotara,Colombia,2.108,-76.592,4400.0
1501-03=,"Tolima, Nevado del",Colombia,4.658,-75.33,5215.0
1501-11=,Chiles-Cerro Negro,Ecuador,0.817,-77.938,4698.0
1502-03=,Antisana,Ecuador,-0.481,-78.141,5753.0
